		No change					0	0	-0.05704027073659901	0	-0.2109332178570556	-0.00016044929204786507	-0.15804825665364505	0	-0.11481977147164647	-0.1106229983917581	0	-0.12414886638457356	-0.13440698443719207	0	0	-0.3018691339304702	0	0	-0.10559376272815522	-0.050245747599161755	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055919502685	0	0	-0.05704027073659901	0	-0.2109332178570556	-0.00016044929204786507	-0.15804825665364505	0	-0.11481977147164647	-0.1106229983917581	0	-0.12414886638457356	-0.13440698443719207	0	0	-0.3018691339304702	0	0	-0.10559376272815522	-0.050245747599161755	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.028038055919502685
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
p s a l	-0.675	No change	p s a l	-0.675	-1.35	0.4494235645221996	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
s a l	-0.541	No change	s a l	-0.541	-1.082	0.5162442810620724	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s o	-0.694	-1.147	0.48375571893792757	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s k ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a l	-0.642	No change	s k ʁ a l	-0.642	-1.284	0.46580346949950496	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s n a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s n o	-0.694	-1.147	0.7417338799314311	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s n a l	-1.101	No change	s n a l	-1.101	-2.202	0.25826612006856875	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s p ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-0.642	No change	s p ʁ a l	-0.642	-1.284	0.46580346949950496	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s t ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.642	No change	s t ʁ a l	-0.642	-1.284	0.46580346949950496	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s v a l	-0.532	No change	s v a l	-0.532	-1.064	0.5207380959714513	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s v a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s v o	-0.694	-1.147	0.4792619040285487	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	t ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-0.642	No change	t ʁ a l	-0.642	-1.284	0.46580346949950496	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
v ʁ a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	v ʁ o	-0.694	-1.147	0.5341965305004951	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a l	-0.642	No change	v ʁ a l	-0.642	-1.284	0.46580346949950496	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
z a l	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	z o	-0.694	-1.147	0.5361866202317949	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
z a l	-0.646	No change	z a l	-0.646	-1.292	0.4638133797682052	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k ʁ a j	-0.431	No change	k ʁ a j	-0.431	-0.862	0.5707716118944917	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
k ʁ a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.694	-1.147	0.4292283881055084	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f a j	-0.215	No change	f a j	-0.215	-0.43	0.6719460548503549	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.694	-1.147	0.3280539451496451	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a j	-0.431	No change	f ʁ a j	-0.431	-0.862	0.5707716118944917	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
f ʁ a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f ʁ o	-0.694	-1.147	0.4292283881055084	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ n o	-0.694	-1.147	0.6531693915283819	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	-0.89	No change	ɡ n a j	-0.89	-1.78	0.3468306084716182	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ a j	-0.436	No change	ʒ a j	-0.436	-0.872	0.568319983478248	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ʒ o	-0.694	-1.147	0.431680016521752	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p n a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p n o	-0.694	-1.147	0.6531693915283819	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p n a j	-0.89	No change	p n a j	-0.89	-1.78	0.3468306084716182	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ a j	-0.431	No change	p ʁ a j	-0.431	-0.862	0.5707716118944917	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
p ʁ a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p ʁ o	-0.694	-1.147	0.4292283881055084	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p s a j	-0.464	No change	p s a j	-0.464	-0.928	0.5545322223612288	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
p s a j	-0.453	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p s o	-0.694	-1.147	0.44546777763877127	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
