							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
k ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	k ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
f a j	-0.294	No change	f a j	-0.294	-0.588	0.6359896527029888	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0
f a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f o	-0.694	-1.146	0.3640103472970111	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a j	-0.48	No change	f ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
f ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	f ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ n o	-0.694	-1.146	0.5209876607065322	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	-0.615	No change	ɡ n a j	-0.615	-1.23	0.47901233929346765	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1
ʒ a j	-0.397	No change	ʒ a j	-0.397	-0.794	0.5871024895421696	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0
ʒ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ʒ o	-0.694	-1.146	0.41289751045783046	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
p n a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p n o	-0.694	-1.146	0.5209876607065322	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p n a j	-0.615	No change	p n a j	-0.615	-1.23	0.47901233929346765	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1
p ʁ a j	-0.48	No change	p ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
p ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p s a j	-0.462	No change	p s a j	-0.462	-0.924	0.5552731792975989	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1
p s a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	p s o	-0.694	-1.146	0.44472682070240105	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s a j	-0.397	No change	s a j	-0.397	-0.794	0.5871024895421696	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0
