		Delete [j] at -2, Mutate [a] at -4 to [o]					0	-6.595867283899343	0	-8.065292601516544	-8.38274352336592	0	0	-5.822103020836005	0	0	0	0	0	0	-0.5370472245350821	0	0	-0.6716694882394535	0	0	0	0	-4.597500646863477	0	-2.233730378161953	-1.9267656538517046	-1.7017635882265727	-0.8755243432768848	-0.1967871512391612	-0.39966409572557626	-0.246300674414458	-0.26101278410184736	-0.7775602159074194	-0.1136532305498853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
s p ʁ a l	-0.642	No change	s p ʁ a l	-0.642	-1.284	0.967216397089517	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s p ʁ o	-1.727	-2.4010000000000002	0.032783602910482955	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a l	-9.054	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-9.054	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.642	No change	s t ʁ a l	-0.642	-1.284	0.967216397089517	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s t ʁ o	-1.727	-2.4010000000000002	0.032783602910482955	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a l	-9.054	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-9.054	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s v a l	-0.532	No change	s v a l	-0.532	-1.064	0.9735191012127148	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
s v a l	-0.674	Delete [l] at -2, Mutate [a] at -4 to [o]	s v o	-1.727	-2.4010000000000002	0.02648089878728518	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s v a l	-8.92	Delete [j] at -2, Mutate [a] at -4 to [o]	incompatible	null	-8.92	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a l	-0.642	No change	t ʁ a l	-0.642	-1.284	0.967216397089517	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
