base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	[+sonorant,-continuant,-syllabic]$	[+sonorant,+continuant,-syllabic]$	[-sonorant]$	[+sonorant,+continuant,+lateral,-syllabic]$	[+sonorant,+continuant,-lateral,-syllabic]$	[+low,+syllabic] [-syllabic]$	[-low,+syllabic] [-syllabic]$	[+coronal] [+low,+syllabic] [-syllabic]$	[+dorsal] [+low,+syllabic] [-syllabic]$	[+labial] [+low,+syllabic] [-syllabic]$	[+sonorant] [+low,+syllabic] [-syllabic]$	[-syllabic] [-syllabic] [+low,+syllabic] [-syllabic]$
k ʁ a j	-0.48	No change	k ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
k ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	f o	0	0	0.642906121361229	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
f a j	-0.294	No change	f a j	-0.294	-0.588	0.357093878638771	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0
f a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	f ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ a j	-0.48	No change	f ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
f ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	ɡ n o	0	0	0.7738185742694539	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ɡ n a j	-0.615	No change	ɡ n a j	-0.615	-1.23	0.2261814257305462	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1
ɡ n a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	ʒ o	0	0	0.6886895621923972	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ʒ a j	-0.397	No change	ʒ a j	-0.397	-0.794	0.3113104378076028	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0
ʒ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p n a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	p n o	0	0	0.7738185742694539	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p n a j	-0.615	No change	p n a j	-0.615	-1.23	0.2261814257305462	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1
p n a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	p ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ a j	-0.48	No change	p ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
p ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
p s a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	p s o	0	0	0.7158564317287899	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
p s a j	-0.462	No change	p s a j	-0.462	-0.924	0.2841435682712103	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1
p s a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	s o	0	0	0.6886895621923972	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
s a j	-0.397	No change	s a j	-0.397	-0.794	0.3113104378076028	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0
s a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	s k ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a j	-0.48	No change	s k ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
s k ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s n a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	s n o	0	0	0.7738185742694539	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s n a j	-0.615	No change	s n a j	-0.615	-1.23	0.2261814257305462	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1
s n a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	s p ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s p ʁ a j	-0.48	No change	s p ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
s p ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	s t ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a j	-0.48	No change	s t ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
s t ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s v a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	s v o	0	0	0.6721664514898772	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s v a j	-0.359	No change	s v a j	-0.359	-0.718	0.3278335485101228	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1
s v a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	t ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a j	-0.48	No change	t ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
t ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a j	0	Delete [j] at -2, Mutate [a] at -4 to [o]	v ʁ o	0	0	0.7231218051243898	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a j	-0.48	No change	v ʁ a j	-0.48	-0.96	0.27687819487561016	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
v ʁ a j	-7.505	Delete [l] at -2, Mutate [a] at -4 to [o]	incompatible	null	-7.505	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
