base	derivative	probability	sublexicon	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	F: Ident [continuant]	F: Ident [voice]	F: Ident [nasal]
f e s œ ʁ	f e s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p w ɛ̃ t œ ʁ	p w ɛ̃ t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f l e ʁ œ ʁ	f l e ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e t e ʁ œ ʁ	d e t e ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l a ʃ œ ʁ	l a ʃ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m õ t œ ʁ	m õ t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d ʁ a ɡ œ ʁ	d ʁ a ɡ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ã b a l œ ʁ	ã b a l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ a ʁ d œ ʁ	ɡ a ʁ d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l i v ʁ œ ʁ	l i v ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a t œ ʁ	m a t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b l ã ʃ i s œ ʁ	b l ã ʃ i s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d e v o ʁ œ ʁ	d e v o ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p l a s œ ʁ	p l a s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a n õ s œ ʁ	a n õ s ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s u d œ ʁ	s u d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f y ɡ œ ʁ	f y ɡ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ y k œ ʁ	t ʁ y k ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ã ʒ o l œ ʁ	ã ʒ o l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
