							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
a v e g	0	Insert [n e k] at -1	a v e g n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d a r m e t t	0	Insert [n a k] at -1	d a r m e t t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d a r m e t t	0	Insert [n e k] at -1	d a r m e t t n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
v u v s E	0	Insert [n a k] at -1	v u v s E n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v u v s E	0	Insert [n e k] at -1	v u v s E n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gy E k	0	Insert [n a k] at -1	gy E k n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gy E k	0	Insert [n e k] at -1	gy E k n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t A s k e g	0	Insert [n a k] at -1	t A s k e g n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t A s k e g	0	Insert [n e k] at -1	t A s k e g n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
n e n	0	Insert [n a k] at -1	n e n n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n e n	0	Insert [n e k] at -1	n e n n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a l E g i m	0	Insert [n a k] at -1	a l E g i m n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a l E g i m	0	Insert [n e k] at -1	a l E g i m n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
t u t t E r	0	Insert [n a k] at -1	t u t t E r n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t u t t E r	0	Insert [n e k] at -1	t u t t E r n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
h A p s u g E g	0	Insert [n a k] at -1	h A p s u g E g n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h A p s u g E g	0	Insert [n e k] at -1	h A p s u g E g n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k U j A n z E	0	Insert [n a k] at -1	k U j A n z E n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k U j A n z E	0	Insert [n e k] at -1	k U j A n z E n e k	-0.89	-0.89	0.2911098274338801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
v E r v	0	Insert [n a k] at -1	v E r v n a k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v E r v	0	Insert [n e k] at -1	v E r v n e k	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j A t t I r k E s t	0	Insert [n a k] at -1	j A t t I r k E s t n a k	0	0	0.7088901725661199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
