base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
C e j	0	Mutate the segment(s) at last nucleus to [+high]	C i j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Delete 4 segments at 13,15,17,19	C e j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C e j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	C e i	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Insert [i g] at -1	C e j i g	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	C e j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Insert [k] at -1	C e j k	0	0	0.05814637706031729	0	0	0	1	0	0
C e j	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	C e	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	C e j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Insert [e] at -1	C e j e	0	0	0.05814637706031729	0	0	0	1	0	0
C e j	0	Insert [w] at -1	C e j w	0	0	0.05814637706031729	0	0	0	1	0	0
C e j	0	Mutate the segment(s) at -4 to [-high,+glide]	C y j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Insert [o j] at -1	C e j o j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	C e j	0	0	0.05814637706031729	0	0	0	0	0	0
C e j	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	C e i j	-1.623	-1.623	0.01147262282970473	0	0	0	1	0	0
C e j	0	Insert [g] at -1	C e j g	-7.308	-7.308	0.00003896714490157927	0	0	0	1	0	0
l o p	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l u p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at last nucleus to [+glide]	l q p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l o p g	0	0	0.07024282149756311	0	0	0	0	1	0
l o p	0	Mutate the segment(s) at last nucleus to [+high]	l u p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Delete 4 segments at 13,15,17,19	l o p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l o p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l o p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Insert [i g] at -1	l o p i g	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	l o b	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	l o	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Insert [o j] at -1	l o p o j	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	l o p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at -4 to [-high,+glide]	l q p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	l o p	0	0	0.07024282149756311	0	0	0	0	0	0
l o p	0	Insert [k] at -1	l o p k	-1.456	-1.456	0.01637831359349415	0	0	0	0	1	0
l o p	0	Insert [w] at -1	l o p w	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
l o p	0	Insert [e] at -1	l o p e	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
l o p	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l o p j	-7.192	-7.192	0.00005286351465721794	0	0	0	0	1	0
l o p	0	Insert [g] at -1	l o p g	-7.222	-7.222	0.00005130116168677321	0	0	0	0	1	0
r e m p	0	Mutate the segment(s) at last nucleus to [+glide]	r y m p	0	0	0.16394724828760185	1	0	0	0	0	0
r e m p	0	Mutate the segment(s) at last nucleus to [+high]	r i m p	0	0	0.16394724828760185	1	0	0	0	0	0
r e m p	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	r e m p	0	0	0.16394724828760185	1	0	0	1	0	0
r e m p	0	Insert [i g] at -1	r e m p i g	0	0	0.16394724828760185	1	0	0	0	0	0
r e m p	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	r e m b	0	0	0.16394724828760185	1	0	0	1	0	0
r e m p	0	Insert [o j] at -1	r e m p o j	0	0	0.16394724828760185	1	0	0	0	0	0
r e m p	-2.391	Insert [k] at -1	r e m p k	0	-2.391	0.015007419607360736	1	0	0	0	0	0
r e m p	-6.91	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	r i m p	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
r e m p	-6.91	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	r e m p j	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
r e m p	-6.91	Delete 4 segments at 13,15,17,19	r e m p	0	-6.91	0.0001635796451911041	1	0	0	1	0	0
r e m p	-6.91	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	r e p	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
r e m p	-6.91	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	r e m p g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
r e m p	-6.91	Insert [e] at -1	r e m p e	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
r e m p	-6.91	Insert [w] at -1	r e m p w	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
r e m p	-6.911	Insert [g] at -1	r e m p g	0	-6.911	0.00016341614730847905	1	0	0	0	0	0
r e m p	-6.91	Mutate the segment(s) at -4 to [-high,+glide]	r e m p	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
r e m p	-6.91	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	r e m p	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
r e m p	-6.91	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	r e m p	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
r e m p	-6.91	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	r e m p	-7.158	-14.068000000000001	1.2736478311586414e-7	1	0	0	1	0	0
n o m	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	n u m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at last nucleus to [+glide]	n q m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	n o m g	0	0	0.07024282149756311	0	0	0	0	1	0
n o m	0	Mutate the segment(s) at last nucleus to [+high]	n u m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Delete 4 segments at 13,15,17,19	n o m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	n o m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	n o m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Insert [i g] at -1	n o m i g	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	n o m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	n o	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Insert [o j] at -1	n o m o j	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	n o m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at -4 to [-high,+glide]	n q m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	n o m	0	0	0.07024282149756311	0	0	0	0	0	0
n o m	0	Insert [k] at -1	n o m k	-1.456	-1.456	0.01637831359349415	0	0	0	0	1	0
n o m	0	Insert [w] at -1	n o m w	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
n o m	0	Insert [e] at -1	n o m e	-7.082	-7.082	0.000059010382139233545	0	0	0	0	1	0
n o m	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	n o m j	-7.192	-7.192	0.00005286351465721794	0	0	0	0	1	0
n o m	0	Insert [g] at -1	n o m g	-7.222	-7.222	0.00005130116168677321	0	0	0	0	1	0
f o s t r	0	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	f u s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at last nucleus to [+glide]	f q s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	f o s t r g	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at last nucleus to [+high]	f u s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	f o s t r j	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [i g] at -1	f o s t r i g	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [k] at -1	f o s t r k	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [g] at -1	f o s t r g	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [e] at -1	f o s t r e	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [w] at -1	f o s t r w	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at -4 to [-high,+glide]	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Insert [o j] at -1	f o s t r o j	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Delete 4 segments at 13,15,17,19	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	f o s t r	0	0	0.05555113755374425	0	0	0	0	0	0
f o s t r	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	f o t r	-6.549	-6.549	0.00007952403260319353	0	0	0	0	1	0
C o r t	0	Mutate the segment(s) at last nucleus to [+glide]	C q r t	0	0	0.8794839221638444	0	1	0	0	0	0
C o r t	-2.094	Insert [k] at -1	C o r t k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
C o r t	-6.518	Insert [o j] at -1	C o r t o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
C o r t	-6.518	Insert [i g] at -1	C o r t i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
C o r t	-6.519	Mutate the segment(s) at last nucleus to [+high]	C u r t	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
C o r t	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	C o t	0	-6.613	0.001180968994598583	0	1	0	0	0	0
C o r t	-6.613	Insert [w] at -1	C o r t w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
C o r t	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C u r g	0	-6.613	0.001180968994598583	0	1	0	0	0	0
C o r t	-6.613	Insert [e] at -1	C o r t e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
C o r t	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	C o r t j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
C o r t	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C o r k g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
C o r t	-6.615	Insert [g] at -1	C o r t g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
C o r t	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	C o r d	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
C o r t	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	C o r t	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
C o r t	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	C o r t	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
C o r t	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	C o r t	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
C o r t	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	C o r k	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
C o r t	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	C o r t	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
C o r t	-6.613	Delete 4 segments at 13,15,17,19	C o r t	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
m o b r	0	Mutate the segment(s) at last nucleus to [+glide]	m q b r	0	0	0.8794839221638444	0	1	0	0	0	0
m o b r	-2.094	Insert [k] at -1	m o b r k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
m o b r	-6.518	Insert [o j] at -1	m o b r o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
m o b r	-6.518	Insert [i g] at -1	m o b r i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
m o b r	-6.519	Mutate the segment(s) at last nucleus to [+high]	m u b r	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
m o b r	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	m o r	0	-6.613	0.001180968994598583	0	1	0	0	0	0
m o b r	-6.613	Insert [w] at -1	m o b r w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
m o b r	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	m u b r	0	-6.613	0.001180968994598583	0	1	0	0	0	0
m o b r	-6.613	Insert [e] at -1	m o b r e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
m o b r	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	m o b r j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
m o b r	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	m o b r g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
m o b r	-6.615	Insert [g] at -1	m o b r g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
m o b r	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	m o b r	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
m o b r	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	m o b r	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
m o b r	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	m o b r	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
m o b r	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	m o b r	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
m o b r	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	m o b r	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
m o b r	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	m o p r	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
m o b r	-6.613	Delete 4 segments at 13,15,17,19	m o b r	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
b e k t	0	Mutate the segment(s) at last nucleus to [+glide]	b y k t	0	0	0.16394724828760185	1	0	0	0	0	0
b e k t	0	Mutate the segment(s) at last nucleus to [+high]	b i k t	0	0	0.16394724828760185	1	0	0	0	0	0
b e k t	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	b e k t	0	0	0.16394724828760185	1	0	0	1	0	0
b e k t	0	Insert [i g] at -1	b e k t i g	0	0	0.16394724828760185	1	0	0	0	0	0
b e k t	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	b e k d	0	0	0.16394724828760185	1	0	0	1	0	0
b e k t	0	Insert [o j] at -1	b e k t o j	0	0	0.16394724828760185	1	0	0	0	0	0
b e k t	-2.391	Insert [k] at -1	b e k t k	0	-2.391	0.015007419607360736	1	0	0	0	0	0
b e k t	-6.91	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b i k g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
b e k t	-6.91	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	b e k t j	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
b e k t	-6.91	Delete 4 segments at 13,15,17,19	b e k t	0	-6.91	0.0001635796451911041	1	0	0	1	0	0
b e k t	-6.91	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	b e t	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
b e k t	-6.91	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b e k k g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
b e k t	-6.91	Insert [e] at -1	b e k t e	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
b e k t	-6.91	Insert [w] at -1	b e k t w	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
b e k t	-6.911	Insert [g] at -1	b e k t g	0	-6.911	0.00016341614730847905	1	0	0	0	0	0
b e k t	-6.91	Mutate the segment(s) at -4 to [-high,+glide]	b e k t	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
b e k t	-6.91	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	b e k t	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
b e k t	-6.91	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b e k k	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
b e k t	-6.91	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	b e k t	-7.158	-14.068000000000001	1.2736478311586414e-7	1	0	0	1	0	0
l e r r	0	Mutate the segment(s) at last nucleus to [+glide]	l y r r	0	0	0.9800027328553084	1	0	1	0	0	1
l e r r	-4.652	Insert [o j] at -1	l e r r o j	0	-4.652	0.00935167395866684	1	0	1	0	0	0
l e r r	-4.652	Insert [i g] at -1	l e r r i g	0	-4.652	0.00935167395866684	1	0	1	0	0	0
l e r r	-6.914	Insert [k] at -1	l e r r k	0	-6.914	0.0009739019578366235	1	0	1	0	0	0
l e r r	-4.652	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	l e r r	-4.652	-9.304	0.00008923832852425274	1	0	1	1	0	1
l e r r	-4.652	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l e r r	-4.652	-9.304	0.00008923832852425274	1	0	1	1	0	1
l e r r	-4.652	Mutate the segment(s) at last nucleus to [+high]	l i r r	-4.829	-9.481	0.00007476206764224069	1	0	1	0	0	1
l e r r	-11.388	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	l e r	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
l e r r	-11.388	Insert [e] at -1	l e r r e	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
l e r r	-11.388	Insert [w] at -1	l e r r w	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
l e r r	-11.388	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l e r r j	0	-11.388	0.000011104058135213958	1	0	1	0	0	0
l e r r	-11.389	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l e r r g	0	-11.389	0.000011092959627257593	1	0	1	0	0	0
l e r r	-11.391	Insert [g] at -1	l e r r g	0	-11.391	0.000011070795879139112	1	0	1	0	0	0
l e r r	-11.388	Delete 4 segments at 13,15,17,19	l e r r	-4.621	-16.009	1.0929666892235287e-7	1	0	1	1	0	1
l e r r	-11.388	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l i r r	-4.829	-16.217	8.877152358791018e-8	1	0	1	0	0	1
l e r r	-11.388	Mutate the segment(s) at -4 to [-high,+glide]	l e r r	-11.388	-22.776	1.2581608493168943e-10	1	0	1	1	0	1
l e r r	-11.388	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	l e r r	-11.388	-22.776	1.2581608493168943e-10	1	0	1	1	0	1
l e r r	-11.388	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l e r r	-11.388	-22.776	1.2581608493168943e-10	1	0	1	1	0	1
l e r r	-11.389	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	l e r r	-11.511	-22.9	1.1114339308744657e-10	1	0	1	1	0	1
s o l k	0	Mutate the segment(s) at last nucleus to [+glide]	s q l k	0	0	0.8794839221638444	0	1	0	0	0	0
s o l k	-2.094	Insert [k] at -1	s o l k k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
s o l k	-6.518	Insert [o j] at -1	s o l k o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
s o l k	-6.518	Insert [i g] at -1	s o l k i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
s o l k	-6.519	Mutate the segment(s) at last nucleus to [+high]	s u l k	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
s o l k	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	s o k	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l k	-6.613	Insert [w] at -1	s o l k w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l k	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s u l g	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l k	-6.613	Insert [e] at -1	s o l k e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l k	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s o l k j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
s o l k	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s o l k g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
s o l k	-6.615	Insert [g] at -1	s o l k g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
s o l k	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	s o l g	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
s o l k	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s o l k	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
s o l k	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	s o l k	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
s o l k	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	s o l k	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
s o l k	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	s o l k	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
s o l k	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	s o l k	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
s o l k	-6.613	Delete 4 segments at 13,15,17,19	s o l k	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
d e b r	0	Mutate the segment(s) at last nucleus to [+glide]	d y b r	0	0	0.16394724828760185	1	0	0	0	0	0
d e b r	0	Mutate the segment(s) at last nucleus to [+high]	d i b r	0	0	0.16394724828760185	1	0	0	0	0	0
d e b r	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e b r	0	0	0.16394724828760185	1	0	0	1	0	0
d e b r	0	Insert [i g] at -1	d e b r i g	0	0	0.16394724828760185	1	0	0	0	0	0
d e b r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	d e b r	0	0	0.16394724828760185	1	0	0	1	0	0
d e b r	0	Insert [o j] at -1	d e b r o j	0	0	0.16394724828760185	1	0	0	0	0	0
d e b r	-2.391	Insert [k] at -1	d e b r k	0	-2.391	0.015007419607360736	1	0	0	0	0	0
