base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	t$	ʧ$	p$	k$	[+sonorant] t$	[+sonorant] ʧ$	[+sonorant] p$	[+sonorant] k$	[-sonorant] t$	[-sonorant] ʧ$	[-sonorant] p$	[-sonorant] k$	[+syllabic] t$	[+syllabic] ʧ$	[+syllabic] p$	[+syllabic] k$	[-syllabic] t$	[-syllabic] ʧ$	[-syllabic] p$	[-syllabic] k$	[+syllabic,+high] t$	[+syllabic,+high] ʧ$	[+syllabic,+high] p$	[+syllabic,+high] k$	[+syllabic,-high] t$	[+syllabic,-high] ʧ$	[+syllabic,-high] p$	[+syllabic,-high] k$	^([-syllabic] ?)*([+syllabic] ?)+([-syllabic] ?)*$	t$	ʧ$	p$	k$	[+sonorant] t$	[+sonorant] ʧ$	[+sonorant] p$	[+sonorant] k$	[-sonorant] t$	[-sonorant] ʧ$	[-sonorant] p$	[-sonorant] k$	[+syllabic] t$	[+syllabic] ʧ$	[+syllabic] p$	[+syllabic] k$	[-syllabic] t$	[-syllabic] ʧ$	[-syllabic] p$	[-syllabic] k$	[+syllabic,+high] t$	[+syllabic,+high] ʧ$	[+syllabic,+high] p$	[+syllabic,+high] k$	[+syllabic,-high] t$	[+syllabic,-high] ʧ$	[+syllabic,-high] p$	[+syllabic,-high] k$	F: Ident back	F: Ident labial	F: Ident coronal	F: Ident dorsal
n ɯ r k	-0.476	Insert [i] at -1	n ɯ r k i	0	-0.476	0.7749198291738688	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n ɯ r k	-1.714	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	n ɯ r g i	0	-1.714	0.22469851666669105	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n ɯ r k	-8.092	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	n ɯ r i	0	-8.092	0.0003816541594400787	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
n ø n y k	0	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	n ø n y i	0	0	0.9343601725415248	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
n ø n y k	-2.656	Insert [i] at -1	n ø n y k i	0	-2.656	0.0656187834209598	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n ø n y k	-10.701	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	n ø n y g i	0	-10.701	0.000021044037515484453	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n u k	-2.656	Insert [i] at -1	n u k i	0	-2.656	0.9158311232194419	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n u k	-2.551	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	n u i	-2.494	-5.045	0.08400127559473128	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
n u k	-11.262	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	n u g i	0	-11.262	0.00016760118582677597	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n y r t	-0.396	Insert [i] at -1	n y r t i	0	-0.396	0.8406403063519369	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n y r t	-2.059	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	n y r d i	0	-2.059	0.15935969356501417	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n y r t	-11.784	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	n y r t	-11.65	-23.434	8.304890971108043e-11	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n u t	-0.58	Insert [i] at -1	n u t i	0	-0.58	0.7631450157202002	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n u t	-1.75	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	n u d i	0	-1.75	0.23685498427107896	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n u t	-12.957	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	n u t	-12.818	-25.775	8.72082558042338e-12	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
p a n ʧ	-0.911	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p a n ʤ i	0	-0.911	0.6313470409323558	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a n ʧ	-1.449	Insert [i] at -1	p a n ʧ i	0	-1.449	0.36865295383787977	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a n ʧ	-9.825	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p a n ʧ	-9.695	-19.52	5.229764534339809e-9	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e r i k	0	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p e r i i	0	0	0.9343601725415248	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
p e r i k	-2.656	Insert [i] at -1	p e r i k i	0	-2.656	0.0656187834209598	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e r i k	-10.701	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p e r i g i	0	-10.701	0.000021044037515484453	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e t	-0.245	Insert [i] at -1	p e t i	0	-0.245	0.9425676521351198	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e t	-3.043	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p e d i	0	-3.043	0.05743234786240856	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p e t	-13.528	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p e t	-13.384	-26.912	2.4716193253715462e-12	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
p ɯ k	-2.656	Insert [i] at -1	p ɯ k i	0	-2.656	0.9158311232194419	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ɯ k	-2.551	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p ɯ i	-2.494	-5.045	0.08400127559473128	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
p ɯ k	-11.262	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p ɯ g i	0	-11.262	0.00016760118582677597	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ɯ s ɯ t	-0.58	Insert [i] at -1	p ɯ s ɯ t i	0	-0.58	0.6477126540832799	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ɯ s ɯ t	-1.189	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p ɯ s ɯ d i	0	-1.189	0.352287344766495	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ɯ s ɯ t	-10.406	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p ɯ s ɯ t	-10.323	-20.729	1.15022516735982e-9	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
p o ʧ	-0.962	Insert [i] at -1	p o ʧ i	0	-0.962	0.5776173575738626	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p o ʧ	-1.275	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p o ʤ i	0	-1.275	0.42238264222415567	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p o ʧ	-11.44	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p o ʧ	-11.296	-22.735999999999997	2.0198177595258192e-10	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p y r k	-0.476	Insert [i] at -1	p y r k i	0	-0.476	0.7749198291738688	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p y r k	-1.714	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	p y r g i	0	-1.714	0.22469851666669105	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p y r k	-8.092	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	p y r i	0	-8.092	0.0003816541594400787	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ʃ ɯ r t	-0.396	Insert [i] at -1	ʃ ɯ r t i	0	-0.396	0.8406403063519369	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ ɯ r t	-2.059	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	ʃ ɯ r d i	0	-2.059	0.15935969356501417	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ ɯ r t	-11.784	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	ʃ ɯ r t	-11.65	-23.434	8.304890971108043e-11	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s o l p	-0.837	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	s o l b i	0	-0.837	0.5887983240464384	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s o l p	-1.196	Insert [i] at -1	s o l p i	0	-1.196	0.4112016476328251	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s o l p	-8.897	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	s o l p	-8.79	-17.686999999999998	2.8320736617334997e-8	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø l y t	-0.58	Insert [i] at -1	s ø l y t i	0	-0.58	0.6477126540832799	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø l y t	-1.189	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	s ø l y d i	0	-1.189	0.352287344766495	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø l y t	-10.406	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	s ø l y t	-10.323	-20.729	1.15022516735982e-9	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
s ø n k	-0.476	Insert [i] at -1	s ø n k i	0	-0.476	0.7749198291738688	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø n k	-1.714	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	s ø n g i	0	-1.714	0.22469851666669105	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø n k	-8.092	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	s ø n i	0	-8.092	0.0003816541594400787	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
s ø t	-0.245	Insert [i] at -1	s ø t i	0	-0.245	0.9425676521351198	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø t	-3.043	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	s ø d i	0	-3.043	0.05743234786240856	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s ø t	-13.528	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	s ø t	-13.384	-26.912	2.4716193253715462e-12	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ʃ y k	-2.656	Insert [i] at -1	ʃ y k i	0	-2.656	0.9158311232194419	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʃ y k	-2.551	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	ʃ y i	-2.494	-5.045	0.08400127559473128	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ʃ y k	-11.262	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	ʃ y g i	0	-11.262	0.00016760118582677597	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t a t a k	-0.048	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	t a t a i	0	-0.048	0.8748737044170845	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
t a t a k	-1.993	Insert [i] at -1	t a t a k i	0	-1.993	0.12509576176611034	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t a t a k	-10.311	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	t a t a g i	0	-10.311	0.00003053381680504568	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t e l p	-0.837	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	t e l b i	0	-0.837	0.5887983240464384	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t e l p	-1.196	Insert [i] at -1	t e l p i	0	-1.196	0.4112016476328251	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t e l p	-8.897	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	t e l p	-8.79	-17.686999999999998	2.8320736617334997e-8	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
t i n k	-0.476	Insert [i] at -1	t i n k i	0	-0.476	0.7749198291738688	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t i n k	-1.714	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	t i n g i	0	-1.714	0.22469851666669105	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t i n k	-8.092	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	t i n i	0	-8.092	0.0003816541594400787	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
t u p	-0.793	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	t u b i	0	-0.793	0.8729169931325061	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t u p	-2.72	Insert [i] at -1	t u p i	0	-2.72	0.1270830066969305	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t u p	-11.647	Mutate the segment(s) at -2 to [+syllabic,-consonantal,+sonorant,+continuant,0delayed_release,+approximant,+voice,+front,-back,+tense]	t u p	-11.502	-23.149	1.7056326880783508e-10	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
t y r y ʧ	-0.816	Insert [i] at -1	t y r y ʧ i	0	-0.816	0.5012499749755762	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t y r y ʧ	-0.821	Insert [i] at -1, Mutate the segment(s) at -2 to [+voice]	t y r y ʤ i	0	-0.821	0.4987499802957178	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
